model_1,model_2,diversity_type,rho,concordant_severe_misses,g4_both_miss,g3_both_miss,or_gate_cost,vs_best_solo
densenet121_binary,efficientnet_b3_binary,ARCH,0.7464,0,0,0,499,-1071
densenet121_5class,efficientnet_b3_binary,BOTH,0.7334,0,0,0,517,-1053
densenet121_binary,densenet121_5class,TASK,0.8339,1,1,0,1005,-565
densenet121_5class,retfound_adversarial,BOTH,0.5980,1,1,0,1008,-562
densenet121_binary,efficientnet_b3_5class,BOTH,0.7795,1,1,0,1014,-556
densenet121_binary,resnet50_5class,BOTH,0.7213,1,1,0,1041,-529
densenet121_binary,retfound_adversarial,ARCH,0.6228,1,1,0,1050,-520
densenet121_binary,resnet50_binary,ARCH,0.7204,1,1,0,1052,-518
densenet121_5class,retfound_binary,BOTH,0.5744,1,1,0,1052,-518
densenet121_binary,retfound_5class,BOTH,0.6043,1,1,0,1055,-515
densenet121_5class,retfound_5class,ARCH,0.5975,1,1,0,1055,-515
densenet121_binary,retfound_binary,ARCH,0.5841,1,1,0,1083,-487
densenet121_binary,vit_base_binary,ARCH,0.5632,1,1,0,1087,-483
densenet121_binary,vit_base_5class,BOTH,0.5840,1,1,0,1097,-473
densenet121_5class,resnet50_binary,BOTH,0.6951,2,1,1,1179,-391
densenet121_5class,resnet50_5class,ARCH,0.7111,2,1,1,1211,-359
densenet121_5class,efficientnet_b3_5class,ARCH,0.7691,2,1,1,1232,-338
densenet121_5class,vit_base_binary,BOTH,0.5284,2,1,1,1250,-320
densenet121_5class,vit_base_5class,ARCH,0.5715,2,1,1,1284,-286
efficientnet_b3_binary,vit_base_5class,BOTH,0.5060,2,2,0,1620,50
efficientnet_b3_binary,retfound_5class,BOTH,0.5575,2,2,0,1647,77
resnet50_binary,retfound_5class,BOTH,0.5767,2,2,0,1664,94
efficientnet_b3_5class,retfound_adversarial,BOTH,0.6010,3,3,0,2015,445
efficientnet_b3_binary,retfound_adversarial,ARCH,0.5630,3,3,0,2035,465
efficientnet_b3_binary,retfound_binary,ARCH,0.5317,3,3,0,2130,560
efficientnet_b3_binary,resnet50_5class,BOTH,0.6927,3,3,0,2143,573
efficientnet_b3_binary,efficientnet_b3_5class,TASK,0.7898,3,3,0,2166,596
resnet50_5class,retfound_adversarial,BOTH,0.6077,3,3,0,2194,624
efficientnet_b3_5class,retfound_5class,ARCH,0.6004,4,3,1,2311,741
resnet50_5class,retfound_5class,ARCH,0.6197,3,3,0,2349,779
resnet50_binary,vit_base_5class,BOTH,0.5707,4,3,1,2403,833
efficientnet_b3_5class,vit_base_binary,BOTH,0.5312,4,4,0,2573,1003
efficientnet_b3_binary,resnet50_binary,ARCH,0.6856,4,4,0,2593,1023
resnet50_binary,retfound_adversarial,ARCH,0.6029,4,4,0,2658,1088
efficientnet_b3_5class,retfound_binary,BOTH,0.5657,5,4,1,2781,1211
resnet50_binary,retfound_binary,ARCH,0.5826,4,4,0,2797,1227
resnet50_5class,retfound_binary,BOTH,0.5812,4,4,0,2836,1266
resnet50_5class,vit_base_5class,ARCH,0.5753,5,4,1,2989,1419
efficientnet_b3_5class,vit_base_5class,ARCH,0.5686,6,4,2,3059,1489
efficientnet_b3_binary,vit_base_binary,ARCH,0.4925,5,5,0,3079,1509
resnet50_binary,vit_base_binary,ARCH,0.5564,5,5,0,3224,1654
vit_base_binary,retfound_5class,BOTH,0.5585,5,5,0,3412,1842
resnet50_5class,vit_base_binary,BOTH,0.5577,6,6,0,3763,2193
efficientnet_b3_5class,resnet50_5class,ARCH,0.7111,8,7,1,4351,2781
vit_base_binary,retfound_adversarial,ARCH,0.5876,7,7,0,4405,2835
efficientnet_b3_5class,resnet50_binary,BOTH,0.7220,10,8,2,4980,3410
vit_base_binary,retfound_binary,ARCH,0.5929,8,8,0,5100,3530
vit_base_5class,retfound_5class,ARCH,0.6142,9,8,1,5162,3592
vit_base_5class,retfound_adversarial,BOTH,0.6298,10,10,0,5911,4341
vit_base_5class,retfound_binary,BOTH,0.6290,11,10,1,6276,4706
retfound_5class,retfound_adversarial,TASK,0.8259,11,10,1,6460,4890
resnet50_binary,resnet50_5class,TASK,0.8085,14,12,2,7170,5600
retfound_binary,retfound_5class,TASK,0.8255,13,11,2,7340,5770
vit_base_binary,vit_base_5class,TASK,0.7239,15,12,3,7947,6377
retfound_binary,retfound_adversarial,SAME,0.8629,14,13,1,8148,6578
