threshold,severity_cost,g4_misses,g3_misses,severe_misses,false_positives,sensitivity,specificity
0.05,2477,1,2,3,602,0.8803,0.7419
0.10,2755,1,2,3,385,0.8222,0.8349
0.15,2957,1,2,3,272,0.7852,0.8834
0.20,3150,1,2,3,225,0.7570,0.9035
0.25,4714,3,4,7,194,0.7271,0.9168
0.30,4839,3,4,7,154,0.7077,0.9340
0.35,5570,4,4,8,130,0.6761,0.9443
0.40,5696,4,4,8,106,0.6585,0.9545
0.45,5831,4,4,8,91,0.6408,0.9610
0.50,6490,4,7,11,75,0.6268,0.9678
0.55,7659,6,7,13,64,0.6021,0.9726
0.60,7791,6,7,13,46,0.5845,0.9803
0.65,9093,8,8,16,43,0.5669,0.9816
0.70,9937,9,9,18,37,0.5458,0.9841
0.75,10906,10,11,21,31,0.5317,0.9867
0.80,11978,11,13,24,23,0.5053,0.9901
0.85,13208,13,13,26,13,0.4736,0.9944
0.90,15923,16,17,33,8,0.4120,0.9966
